	SMALL LoBM LoOP	ME1 BM1 OP2	ME1 BM1 OP3	SMALL LoBM HiOP	ME1 BM2 OP1	ME1 BM2 OP2	ME1 BM2 OP3	ME1 BM2 OP4	ME1 BM3 OP1	ME1 BM3 OP2	ME1 BM3 OP3	ME1 BM3 OP4	SMALL HiBM LoOP	ME1 BM4 OP2	ME1 BM4 OP3	SMALL HiBM HiOP	BIG LoBM LoOP	ME2 BM1 OP2	ME2 BM1 OP3	BIG LoBM HiOP	ME2 BM2 OP1	ME2 BM2 OP2	ME2 BM2 OP3	ME2 BM2 OP4	ME2 BM3 OP1	ME2 BM3 OP2	ME2 BM3 OP3	ME2 BM3 OP4	BIG HiBM LoOP	ME2 BM4 OP2	ME2 BM4 OP3	BIG HiBM HiOP
200312	1.0205	1.4611	0.8963	2.0188	1.5465	3.8177	2.2852	4.5595	0.1510	3.0113	4.2970	4.6029	2.8767	7.9968	8.0392	4.7228	5.9576	5.2415	2.3604	4.8723	5.5414	5.1762	4.6301	6.9846	3.4088	3.8150	3.4612	4.1702	6.1491	4.9638	6.5854	-3.7371
200401	8.9873	3.0993	2.1065	1.3173	5.3491	3.3415	1.1858	4.2208	11.6837	2.4112	1.4436	4.2744	8.4440	6.3808	1.9433	10.4401	3.7829	3.1162	2.3680	1.2483	2.9386	-1.3989	0.6011	-1.0483	3.9945	1.2932	2.9244	3.6817	3.5666	2.0505	2.3189	3.0493
200402	-1.5031	-0.5454	1.5325	2.3060	-2.5210	1.9565	1.8835	3.1086	-1.9604	1.7293	1.9094	5.6758	-0.4438	2.4438	-0.6796	-1.6787	-2.7572	-1.1045	2.3494	1.7810	2.7688	0.9891	1.9274	-0.6003	2.1604	3.0682	2.8456	2.4177	1.3282	5.0537	1.1099	4.4577
200403	-1.1792	1.3101	2.1158	1.8665	-1.1589	0.5749	0.7754	1.4599	-0.9925	1.7332	1.9109	5.2880	-0.5971	1.4180	-1.2937	1.9213	-0.4690	-3.8108	-1.8194	-2.3268	-3.0521	-2.1107	0.3743	-0.0820	-1.3068	0.5032	-0.1693	-1.6914	-1.6047	-0.0858	2.4618	2.3556
200404	-6.2089	-3.2078	-3.2856	-1.7764	-4.9500	-2.1284	-2.5270	-2.0913	-7.4830	-3.8389	-2.9110	-4.8183	-8.1389	-4.9470	-1.2291	-2.4148	-3.9957	0.4989	-1.3845	1.6127	-2.3607	-0.7014	-1.1092	-1.6467	-5.0951	-5.0025	-3.3463	-3.6360	-2.6030	-4.2713	-3.3060	-4.4809
200405	0.0800	3.5287	2.0147	0.6068	2.4370	1.2617	0.7497	0.0936	0.5532	0.8368	-1.1139	1.6822	1.7509	3.4982	-3.6326	-3.1484	6.1695	0.8271	1.5537	-0.3975	2.3602	3.6918	1.5336	0.9100	0.9791	0.3724	2.1602	-0.1052	1.4461	0.6212	1.0830	0.6766
200406	-0.4241	4.3837	5.5471	5.6772	4.2459	5.1406	4.6914	5.0773	2.3468	5.5128	5.3350	2.8225	3.6281	7.2661	5.1229	9.7919	4.1608	4.4277	1.0082	1.1661	-1.4926	1.4424	2.3015	1.5656	-0.1063	0.7003	1.5790	2.6798	2.4754	3.8674	3.3697	5.8590
200407	-15.1395	-9.5971	-5.6367	-4.8821	-11.6245	-4.5562	-3.6840	-1.4718	-8.3703	-4.8698	-4.4155	-0.1187	-6.5536	-4.0227	-3.1890	-2.8403	-11.2932	-4.9970	-3.6682	-4.6368	-5.2785	-3.6806	-1.3869	-0.5178	-6.8401	-2.5291	1.4236	0.7695	-3.7330	-1.1890	0.3850	-2.9341
200408	-3.1807	-1.7744	-1.4375	-1.1178	-2.3468	0.5697	0.4328	0.1620	-1.1017	-0.1103	0.5549	-3.1930	-0.2037	0.2245	-0.8212	0.5055	-2.5602	-1.6083	-1.0829	1.0798	-1.5010	1.6632	0.8548	1.1288	-1.6791	1.9937	2.6060	2.1015	-0.2146	1.9055	1.8570	-0.6577
200409	5.8336	6.8897	5.1194	5.1435	5.4984	4.7238	4.4999	6.0532	3.6329	3.3882	4.1625	5.5119	3.9729	4.4972	3.6406	-0.0732	4.9775	-0.2137	1.7539	-1.4706	5.5627	-0.8677	3.6157	0.8406	3.4136	0.0800	2.1960	3.2779	1.6666	3.2447	4.1157	4.4039
